"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft .NET AppHost Pack - 8.0.25 (x64_x86)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{B56B9E8B-ACB4-4AEC-85E0-B80556E1B66B}"
"Microsoft .NET AppHost Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{9DFC959E-5D10-48C6-B853-ED910243C7DE}"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_arm64)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{EF88DB39-9844-49DF-AC2E-6F5776573F60}"
"Microsoft .NET AppHost Pack - 8.0.26 (x64_x86)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{37C8994F-2447-4C19-92C4-87EC0AA85699}"
"Microsoft .NET AppHost Pack - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{7D59018F-1710-403C-AC1D-41EB5E0E513D}"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_arm64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{FC97F9BA-6A75-47B2-AAAA-27C3FCC03ED2}"
"Microsoft .NET AppHost Pack - 8.0.27 (x64_x86)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{214CEC58-1E0D-4E9F-BFA8-5FE1F154D766}"
"Microsoft .NET AppHost Pack - 9.0.12 (x64)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{5512A127-4779-44D4-B097-F37C48E82940}"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_arm64)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{39E53D64-4534-4864-91E5-3D8597A9A7D3}"
"Microsoft .NET AppHost Pack - 9.0.12 (x64_x86)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{B218AD83-45D7-44A9-85A2-A27D404434A9}"
"Microsoft .NET AppHost Pack - 9.0.13 (x64)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{41E6284C-70C2-4D99-A0AE-D7D19567181B}"
"Microsoft .NET AppHost Pack - 9.0.13 (x64_arm64)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{ADD8CE4E-D1CC-4021-AEF3-C3270F020CC8}"
"Microsoft .NET AppHost Pack - 9.0.13 (x64_x86)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{787E7F6B-9E52-43B0-9FED-AD9F820D7739}"
"Microsoft .NET AppHost Pack - 9.0.14 (x64)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{7755F4D3-1735-4CD7-B1B8-293F1822CD96}"
"Microsoft .NET AppHost Pack - 9.0.14 (x64_arm64)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{DD425E5F-3B08-4EFB-B0E7-999FE0A11545}"
"Microsoft .NET AppHost Pack - 9.0.14 (x64_x86)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{A8EBAB5C-7A03-4C95-BCDC-979E5D1C8D68}"
"Microsoft .NET AppHost Pack - 9.0.15 (x64)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{070D0BAB-49DE-4562-B040-FFACE14B7D32}"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_arm64)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{C9DA4405-13BA-4A60-80AF-2B7FCFAA9453}"
"Microsoft .NET AppHost Pack - 9.0.15 (x64_x86)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{A4C4C263-AA54-4279-A200-633522723257}"
"Microsoft .NET AppHost Pack - 9.0.16 (x64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{AF140745-3CCB-48C2-B436-F90C52BCCA3D}"
"Microsoft .NET AppHost Pack - 9.0.16 (x64_arm64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{892D91CA-2AF9-498C-95FE-986C443280BB}"
"Microsoft .NET AppHost Pack - 9.0.16 (x64_x86)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{B1570298-B0F3-4B22-9221-B3374496D315}"
"Microsoft .NET Core 3.0 Templates (x64)","3.0.4.014459","Microsoft Corporation","","MsiExec.exe /I{EA1E29C8-8AB7-43B2-A32A-929C12C64565}"
"Microsoft .NET Core 3.1 Templates 3.1.426 (x64)","3.1.33.016244","Microsoft Corporation","","MsiExec.exe /I{1F0B1023-8690-4D84-A0F7-6193AF1CA36C}"
"Microsoft .NET Core 5.0 Templates 5.0.408 (x64)","20.4.59784","Microsoft Corporation","","MsiExec.exe /I{AA05EFF3-3AB6-47B9-941B-6E5E72C74A6D}"
"Microsoft .NET Core AppHost Pack - 3.0.3 (x64)","24.12.28517","Microsoft Corporation","","MsiExec.exe /X{C4FF67D7-9622-429A-BFFA-E719C7C48F08}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{51FB23C0-2978-423B-BC84-6F4923EFEF6D}"
